beaconNum,beaconAddr
64686,f9:79:bd:be:99:bf
64692,c8:03:83:4f:aa:42
98001,ac:23:3f:24:0b:ca
98002,ac:23:3f:24:0b:cb
98003,ac:23:3f:24:0b:cc
98004,ac:23:3f:24:0b:cd
